workload,aspect_ratio,n_frames,size_mb
akiyo_cif.y4m,4:3,300,44
blue_sky_1080p25.y4m,16:9,645
bowing_cif.y4m,4:3,300,44
bridge_close_cif.y4m,4:3,2001,291
bridge_far_cif.y4m,4:3,2101,305
bus_cif.y4m,4:3,150,22
city_cif.y4m,4:3,600,44
coastguard_cif.y4m,4:3,300,44
container_cif.y4m,4:3,300,44
crew_cif.y4m,4:3,600,44
crowd_run_1080p50.y4m,16:9,500,1484
deadline_cif.y4m,4:3,1374,200
flower_cif.y4m,4:3,250,37
football_cif.y4m,4:3,260,38
foreman_cif.y4m,4:3,300,44
hall_monitor_cif.y4m,4:3,300,44
sintel_trailer_2k_480p24.y4m,16:9,1253,735
sintel_trailer_2k_1080p24.y4m,16:9,1253,3719
harbour_cif.y4m,4:3,600,44
highway_cif.y4m,4:3,2000,291
husky_cif.y4m,4:3,250,37
ice_cif.y4m,4:3,480,35
mad900_cif.y4m,4:3,900,131
mobile_cif.y4m,4:3,300,44
mother_daughter_cif.y4m,4:3,300,44
news_cif.y4m,4:3,300,44
old_town_cross_1080p50.y4m,16:9,500,1484
pamphlet_cif.y4m,4:3,300,44
paris_cif.y4m,4:3,1065,155
sign_irene_cif.y4m,4:3,540,79
silent_cif.y4m,4:3,300,44
soccer_cif.y4m,4:3,600,44
students_cif.y4m,4:3,1007,147
tempete_cif.y4m,4:3,260,38
waterfall_cif.y4m,4:3,260,38
